RowId , Time  , TimeInterval  , F00A:2659  , F00A:132  , F00A:5257  , Difference  , Label 
0,1543527505.035011,0.0,187.65,190.7,-1.0,0.0,-1.0
1,1543527505.084524,0.04951286315917969,189.6,189.25,-1.0,2.4310292156278916,-1.0
2,1543527505.134528,0.050004005432128906,189.7,189.35,-1.0,0.15000213925136663,-1.0
3,1543527505.183532,0.04900407791137695,188.15,190.7,-1.0,2.0560647848516163,-1.0
4,1543527505.23358,0.050048112869262695,189.6,189.25,-1.0,2.051220588725333,-1.0
5,1543527505.283531,0.04995083808898926,189.6,189.45,-1.0,0.2061433862343654,-1.0
6,1543527505.334536,0.05100512504577637,189.7,188.0,-1.0,1.4543392431966788,-1.0
7,1543527505.38453,0.04999399185180664,189.45,188.7,-1.0,0.7449835042546905,-1.0
8,1543527505.434523,0.049993038177490234,189.35,189.05,-1.0,0.3674225140994224,-1.0
9,1543527505.483521,0.04899787902832031,189.15,189.9,-1.0,0.8745866352117393,-1.0
10,1543527505.534527,0.05100607872009277,189.7,188.8,-1.0,1.2308962803308696,-1.0
11,1543527505.584519,0.04999184608459473,189.35,189.05,-1.0,0.433012948239173,-1.0
12,1543527505.633576,0.0490570068359375,189.6,189.25,-1.0,0.323894217058776,-1.0
13,1543527505.683679,0.050103187561035156,191.5,187.25,-1.0,2.759078002503356,-1.0
14,1543527505.734519,0.050839900970458984,188.0,190.8,-1.0,4.985487462453136,-1.0
15,1543527505.783661,0.049141883850097656,189.9,188.8,-1.0,2.7590610373840043,-1.0
16,1543527505.833574,0.04991316795349121,187.8,190.95,-1.0,3.0058263288510534,-1.0
17,1543527505.884514,0.05094003677368164,189.7,189.35,-1.0,2.484470958132933,-1.0
18,1543527505.934522,0.05000782012939453,189.8,190.35,-1.0,1.006231410313736,-1.0
19,1543527505.983878,0.04935598373413086,189.95,189.45,-1.0,0.9137485638954808,-1.0
20,1543527506.032464,0.048586130142211914,189.9,188.8,-1.0,0.6537286935087963,-1.0
21,1543527506.081571,0.04910707473754883,189.8,189.9,-1.0,1.1056273224611162,-1.0
22,1543527506.132003,0.05043196678161621,189.95,188.9,-1.0,1.0124451286921101,-1.0
23,1543527506.182143,0.0501399040222168,189.9,189.8,-1.0,0.9027813108810024,-1.0
24,1543527506.231057,0.04891395568847656,190.05,189.05,-1.0,0.7664163868357806,-1.0
25,1543527506.281008,0.04995107650756836,188.1,192.15,-1.0,3.6626487936551997,-1.0
26,1543527506.331995,0.05098700523376465,190.25,188.55,-1.0,4.193459281768575,-1.0
27,1543527506.382173,0.05017805099487305,189.8,189.25,-1.0,0.8336776902428051,-1.0
28,1543527506.433004,0.050830841064453125,189.8,189.6,-1.0,0.3536724480903066,-1.0
29,1543527506.48105,0.048046112060546875,191.6,187.1,-1.0,3.080960269721065,-1.0
30,1543527506.531067,0.05001688003540039,188.0,191.4,-1.0,5.608253344154037,-1.0
31,1543527506.582545,0.05147814750671387,191.6,186.9,-1.0,5.763041916815572,-1.0
32,1543527506.63106,0.04851484298706055,189.45,190.35,-1.0,4.065385894495587,-1.0
33,1543527506.68104,0.04998016357421875,191.3,188.0,-1.0,2.991237229628467,-1.0
34,1543527506.731995,0.05095505714416504,191.4,188.25,-1.0,0.2740389904120155,-1.0
35,1543527506.780987,0.04899191856384277,189.95,189.05,-1.0,1.6567751995964086,-1.0
36,1543527506.831988,0.05100107192993164,189.9,189.15,-1.0,0.12290299441123348,-1.0
37,1543527506.881993,0.05000495910644531,189.95,189.8,-1.0,0.6538359795667412,-1.0
38,1543527506.931999,0.05000591278076172,191.7,187.2,-1.0,3.1344856980554345,-1.0
39,1543527506.980985,0.048985958099365234,190.05,189.6,-1.0,2.912885281709257,-1.0
40,1543527507.031278,0.05029296875,191.7,187.25,-1.0,2.87185150921534,-1.0
41,1543527507.081,0.04972219467163086,189.7,189.95,-1.0,3.360427446386241,-1.0
42,1543527507.132006,0.05100584030151367,193.05,185.65,-1.0,5.451156138241775,-1.0
43,1543527507.180999,0.04899311065673828,191.4,187.55,-1.0,2.5169235935904943,-1.0
44,1543527507.232007,0.051007986068725586,189.9,188.7,-1.0,1.8907950376404261,-1.0
45,1543527507.282005,0.04999804496765137,189.8,188.55,-1.0,0.1870850728455025,-1.0
46,1543527507.331051,0.04904603958129883,188.0,191.05,-1.0,3.080974913937617,-1.0
47,1543527507.382005,0.05095386505126953,191.7,186.65,-1.0,5.749139060429975,-1.0
48,1543527507.431997,0.04999208450317383,189.6,190.15,-1.0,4.081972578733812,-1.0
49,1543527507.480997,0.04900002479553223,189.95,188.7,-1.0,1.4924483195784273,-1.0
50,1543527507.531993,0.050995826721191406,189.8,189.25,-1.0,0.5723675021944467,-1.0
51,1543527507.580986,0.04899311065673828,191.4,186.55,-1.0,3.1388539844604715,-1.0
52,1543527507.631986,0.05099987983703613,189.5,188.45,-1.0,2.6874904678651177,-1.0
53,1543527507.68099,0.04900407791137695,189.6,189.8,-1.0,1.3545867941469572,-1.0
54,1543527507.73105,0.05006003379821777,191.6,187.35,-1.0,3.163069256596636,-1.0
55,1543527507.780985,0.049935102462768555,189.9,189.05,-1.0,2.4046815860038153,-1.0
56,1543527507.831994,0.05100893974304199,191.4,186.8,-1.0,2.704644720672239,-1.0
57,1543527507.881988,0.04999399185180664,189.35,190.35,-1.0,4.099695162977416,-1.0
58,1543527507.931985,0.04999685287475586,191.6,187.45,-1.0,3.6708309257313387,-1.0
59,1543527507.98098,0.048995018005371094,189.7,189.95,-1.0,3.1404460695038967,-1.0
