RowId , Time  , TimeInterval  , FEBF:904  , FEBF:905  , FEBF:906  , FEBF:907  , FEBF:908  , FEBF:909  , FEBF:910  , Difference  , Label 
15,1543527610.759512,0.09998297691345215,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.09998526965886059,-1.0
16,1543527610.859442,0.0999300479888916,2.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16003442533571716,-1.0
17,1543527610.959659,0.10021710395812988,2.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1602140765566,-1.0
18,1543527611.059854,0.10019493103027344,2.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1601999522340752,-1.0
19,1543527611.160583,0.10072898864746094,2.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10073040440442395,-1.0
20,1543527611.360543,0.19995999336242676,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2558432943077526,-1.0
21,1543527611.460686,0.1001429557800293,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1413932550869618,-1.0
22,1543527611.56085,0.10016393661499023,3.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16018056885405052,-1.0
23,1543527611.661481,0.1006309986114502,3.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1006320825007921,-1.0
24,1543527611.761493,0.10001206398010254,3.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10001397913110949,-1.0
