RowId , Time  , TimeInterval  , F004:899  , F004:4154  , F004:512  , F004:513  , F004:190  , F004:1483  , F004:1675  , F004:2432  , Difference  , Label 
0,1525893776.000013,0.0,1.0,0.0,0.0,0.0,602.0,-1.0,0.0,-1.0,0.0,-1.0
1,1525893776.015523,0.015509843826293945,2.0,0.0,0.0,0.0,599.0,-1.0,0.0,-1.0,3.1623537295045017,-1.0
2,1525893776.035404,0.019881010055541992,2.0,0.0,0.0,0.0,599.125,-1.0,0.0,-1.0,0.12664660143498632,-1.0
3,1525893776.055396,0.01999211311340332,2.0,0.0,0.0,0.0,599.5,-1.0,0.0,-1.0,0.37553255109328215,-1.0
4,1525893776.075466,0.02006983757019043,1.0,0.0,0.0,0.0,601.5,-1.0,0.0,-1.0,2.236158045492578,-1.0
5,1525893776.095467,0.02000117301940918,0.0,0.0,0.0,0.0,602.25,-1.0,0.0,-1.0,1.2501600104134563,-1.0
6,1525893776.115577,0.020109891891479492,6.0,0.0,0.0,0.0,603.125,-1.0,0.0,-1.0,6.063499766601107,-1.0
7,1525893776.135427,0.01985001564025879,0.0,0.0,0.0,0.0,599.75,-1.0,0.0,-1.0,6.884113529762317,-1.0
8,1525893776.15541,0.01998305320739746,3.0,0.0,0.0,0.0,598.125,-1.0,0.0,-1.0,3.4118945382462345,-1.0
9,1525893776.175474,0.02006387710571289,3.0,0.0,0.0,0.0,599.625,-1.0,0.0,-1.0,1.5001341825640184,-1.0
10,1525893776.195437,0.01996302604675293,2.0,0.0,0.0,0.0,599.375,-1.0,0.0,-1.0,1.0309697049767657,-1.0
11,1525893776.215495,0.020058155059814453,3.0,0.0,0.0,0.0,598.75,-1.0,0.0,-1.0,1.1794182204095087,-1.0
12,1525893776.255402,0.039906978607177734,3.0,0.0,0.0,0.0,599.625,-1.0,0.0,-1.0,0.8761344318868927,-1.0
13,1525893776.275462,0.020059823989868164,1.0,0.0,0.0,0.0,602.0,-1.0,0.0,-1.0,3.1050638167491673,-1.0
14,1525893776.295423,0.019961118698120117,0.0,0.0,0.0,0.0,602.625,-1.0,0.0,-1.0,1.1794165744139833,-1.0
15,1525893776.315555,0.020132064819335938,6.0,0.0,0.0,0.0,603.5,-1.0,0.0,-1.0,6.063499841614286,-1.0
16,1525893776.335461,0.019905805587768555,0.0,0.0,0.0,0.0,599.875,-1.0,0.0,-1.0,7.010065712408789,-1.0
17,1525893776.355448,0.019987106323242188,3.0,0.0,0.0,0.0,598.25,-1.0,0.0,-1.0,3.411894560362173,-1.0
18,1525893776.3755,0.020051956176757812,3.0,0.0,0.0,0.0,599.5,-1.0,0.0,-1.0,1.2501608237151003,-1.0
19,1525893776.395452,0.019952058792114258,3.0,0.0,0.0,0.0,598.75,-1.0,0.0,-1.0,0.7502653494794568,-1.0
20,1525893776.415511,0.020058870315551758,3.0,0.0,0.0,0.0,598.5,-1.0,0.0,-1.0,0.25080344831568335,-1.0
21,1525893776.435422,0.01991105079650879,3.0,0.0,0.0,0.0,598.625,-1.0,0.0,-1.0,0.1265759526704475,-1.0
22,1525893776.455411,0.019989013671875,3.0,0.0,0.0,0.0,598.875,-1.0,0.0,-1.0,0.25079786032935836,-1.0
23,1525893776.475475,0.020064115524291992,2.0,0.0,0.0,0.0,601.375,-1.0,0.0,-1.0,2.692657158713686,-1.0
24,1525893776.495466,0.019990921020507812,1.0,0.0,0.0,0.0,602.5,-1.0,0.0,-1.0,1.505332070435186,-1.0
25,1525893776.515571,0.02010512351989746,6.0,0.0,0.0,0.0,603.5,-1.0,0.0,-1.0,5.099059151356646,-1.0
26,1525893776.535473,0.01990199089050293,1.0,0.0,0.0,0.0,599.75,-1.0,0.0,-1.0,6.250031690359999,-1.0
27,1525893776.555423,0.019949913024902344,3.0,0.0,0.0,0.0,598.375,-1.0,0.0,-1.0,2.427142970928213,-1.0
28,1525893776.575474,0.020051002502441406,3.0,0.0,0.0,0.0,599.75,-1.0,0.0,-1.0,1.3751461932901663,-1.0
29,1525893776.595443,0.01996898651123047,2.0,0.0,0.0,0.0,599.25,-1.0,0.0,-1.0,1.1182123086198383,-1.0
30,1525893776.615534,0.02009105682373047,3.0,0.0,0.0,0.0,598.75,-1.0,0.0,-1.0,1.118214498862117,-1.0
31,1525893776.655421,0.0398869514465332,3.0,0.0,0.0,0.0,599.5,-1.0,0.0,-1.0,0.7513207346663708,-1.0
32,1525893776.675506,0.02008509635925293,1.0,0.0,0.0,0.0,601.75,-1.0,0.0,-1.0,3.0105307712363043,-1.0
33,1525893776.69547,0.019963979721069336,1.0,0.0,0.0,0.0,602.375,-1.0,0.0,-1.0,0.6253187788284814,-1.0
34,1525893776.715577,0.020106792449951172,7.0,0.0,0.0,0.0,603.5,-1.0,0.0,-1.0,6.104590838336186,-1.0
35,1525893776.735473,0.01989603042602539,0.0,0.0,0.0,0.0,599.625,-1.0,0.0,-1.0,8.001001243372441,-1.0
36,1525893776.755434,0.019961118698120117,3.0,0.0,0.0,0.0,598.125,-1.0,0.0,-1.0,3.3541613632167673,-1.0
37,1525893776.775477,0.020042896270751953,3.0,0.0,0.0,0.0,600.0,-1.0,0.0,-1.0,1.875107123440816,-1.0
38,1525893776.795441,0.019963979721069336,2.0,0.0,0.0,0.0,599.375,-1.0,0.0,-1.0,1.1794166213489299,-1.0
39,1525893776.815558,0.02011704444885254,3.0,0.0,0.0,0.0,599.0,-1.0,0.0,-1.0,1.0681899264204695,-1.0
40,1525893776.835497,0.019938945770263672,2.0,0.0,0.0,0.0,599.5,-1.0,0.0,-1.0,1.1182117837322092,-1.0
41,1525893776.855442,0.019945144653320312,2.0,0.0,0.0,0.0,600.0,-1.0,0.0,-1.0,0.5003976507075828,-1.0
42,1525893776.875482,0.020040035247802734,1.0,0.0,0.0,0.0,601.875,-1.0,0.0,-1.0,2.1250944948441606,-1.0
43,1525893776.895509,0.02002692222595215,0.0,0.0,0.0,0.0,602.875,-1.0,0.0,-1.0,1.414355357675643,-1.0
44,1525893776.91557,0.020061016082763672,6.0,0.0,0.0,0.0,603.75,-1.0,0.0,-1.0,6.0634996038202775,-1.0
45,1525893776.935458,0.019887924194335938,0.0,0.0,0.0,0.0,600.125,-1.0,0.0,-1.0,7.010065660141106,-1.0
46,1525893776.955452,0.019994020462036133,3.0,0.0,0.0,0.0,598.625,-1.0,0.0,-1.0,3.354161560227929,-1.0
