RowId , Time  , TimeInterval  , FDA3:3470  , FDA3:641  , FDA3:3675  , FDA3:5369  , FDA3:5366  , FDA3:5367  , FDA3:5368  , Difference  , Label 
0,1543527505.00455,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0,-1.0
1,1543527515.901023,10.896472930908203,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,15.40993980092169,-1.0
2,1543527516.102213,0.20118999481201172,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,10.697175070884969,-1.0
3,1543527516.501552,0.3993391990661621,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.4457969302915363,-1.0
4,1543527524.501008,7.99945592880249,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,11.034177335101667,-1.0
5,1543527525.101787,0.6007790565490723,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,7.42302869015105,-1.0
6,1543527525.800761,0.6989738941192627,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.7058376093590383,-1.0
7,1543527525.90076,0.09999895095825195,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.6072649938268193,-1.0
8,1543527533.101026,7.200266122817993,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,10.112251289954655,-1.0
9,1543527536.498988,3.3979618549346924,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,5.099378639908472,-1.0
10,1543527536.598204,0.09921598434448242,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,3.300237586945129,-1.0
11,1543527536.698198,0.09999418258666992,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09999721067950058,-1.0
12,1543527536.798982,0.1007838249206543,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10078691830119978,-1.0
13,1543527536.898191,0.09920907020568848,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09922156753191079,-1.0
14,1543527537.000002,0.10181093215942383,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10184417309201885,-1.0
15,1543527537.099156,0.09915399551391602,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09918958684616001,-1.0
16,1543527537.200007,0.10085105895996094,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10086533655168865,-1.0
17,1543527537.299133,0.09912610054016113,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09914110797165912,-1.0
18,1543527537.399264,0.10013103485107422,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10013607758104114,-1.0
19,1543527537.497996,0.09873199462890625,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09874190638703315,-1.0
20,1543527537.598997,0.10100102424621582,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10102650837373775,-1.0
21,1543527554.199976,16.60097885131836,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,23.406019890527986,-1.0
22,1543527554.299978,0.10000205039978027,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,16.50127982292699,-1.0
23,1543527554.398973,0.09899497032165527,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09900009272353821,-1.0
24,1543527554.499987,0.1010138988494873,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10103407263480448,-1.0
25,1543527602.68994,48.189953088760376,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,68.07949508558265,-1.0
26,1543527602.790953,0.1010129451751709,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,48.08904623454715,-1.0
27,1543527602.889936,0.0989830493927002,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09900386125785912,-1.0
28,1543527602.990932,0.10099601745605469,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10101607586125977,-1.0
29,1543527603.090955,0.10002303123474121,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10002776354379259,-1.0
30,1543527603.189997,0.09904193878173828,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0990467979292967,-1.0
31,1543527603.289946,0.09994912147521973,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09995323838729579,-1.0
32,1543527603.389948,0.10000181198120117,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10000182586239578,-1.0
33,1543527603.489948,0.10000014305114746,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10000014306507408,-1.0
34,1543527603.689938,0.19999003410339355,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.22359336316920625,-1.0
35,1543527603.789939,0.10000085830688477,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.1414143095255172,-1.0
36,1543527603.888941,0.09900212287902832,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09900716038251516,-1.0
37,1543527604.48995,0.6010088920593262,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.7830852345927738,-1.0
38,1543527604.88994,0.3999900817871094,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.44766128670158195,-1.0
39,1543527604.989945,0.10000491142272949,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.31621525065564754,-1.0
40,1543527605.088967,0.09902215003967285,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09902702670693243,-1.0
41,1543527605.189959,0.10099196434020996,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10101117279624487,-1.0
