RowId , Time  , TimeInterval  , F003:558  , F003:559  , F003:1437  , F003:2970  , F003:91  , F003:92  , F003:974  , F003:29  , F003:2979  , F003:5021  , F003:5399  , F003:5400  , F003:3357  , F003:5398  , Difference  , Label 
0,1525893776.01416,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.0,-1.0
1,1525893776.133726,0.11956596374511719,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.1690918075265545,-1.0
2,1525893776.153757,0.020031213760375977,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.10153036973851133,-1.0
3,1525893776.173741,0.019984006881713867,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.019984062638457183,-1.0
4,1525893776.213884,0.04014301300048828,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.044920452139912345,-1.0
5,1525893776.253748,0.03986382484436035,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.03986480248600718,-1.0
6,1525893776.273761,0.020013093948364258,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.028188214673712627,-1.0
7,1525893776.333733,0.05997204780578613,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.07206500198708848,-1.0
8,1525893776.353789,0.02005600929260254,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.044671396209777406,-1.0
9,1525893776.373756,0.019966840744018555,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.019967039848887366,-1.0
10,1525893776.393764,0.020008087158203125,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.02000812967263397,-1.0
11,1525893776.413892,0.02012801170349121,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.02012836896105697,-1.0
12,1525893776.433715,0.019823074340820312,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.019825419620195718,-1.0
13,1525893776.49405,0.06033492088317871,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.07267401453236934,-1.0
14,1525893776.533743,0.03969287872314453,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.04473945155974633,-1.0
15,1525893776.553772,0.020029067993164062,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0.02806829202319379,-1.0
