RowId , Time  , TimeInterval  , FE6E:1592  , FE6E:1593  , FE6E:1594  , FE6E:1595  , Difference  , Label 
0,1543527505.000037,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1,1543527604.978318,99.97828102111816,0.0,0.0,0.0,1.75,141.40147047281846,-1.0
2,1543527604.998327,0.02000904083251953,0.0,0.0,1.25,1.5,99.96640204411916,-1.0
3,1543527605.018416,0.020088911056518555,0.0,0.0,4.5,1.625,3.252464999154747,-1.0
4,1543527605.039536,0.021120071411132812,0.0,0.0,4.0,1.5,0.5158217916180823,-1.0
5,1543527605.058463,0.01892709732055664,0.0,0.0,2.25,0.875,1.8583562748160924,-1.0
6,1543527605.078511,0.020047903060913086,0.0,0.0,0.875,0.625,1.3976867226323098,-1.0
7,1543527605.09854,0.020029067993164062,0.0,0.0,0.625,1.375,0.7908230926821969,-1.0
8,1543527605.118645,0.02010488510131836,0.0,0.0,0.0,1.375,0.625323286111409,-1.0
9,1543527605.159806,0.04116106033325195,0.0,0.0,0.0,0.875,0.5021330455199653,-1.0
10,1543527605.178703,0.018897056579589844,0.0,0.0,0.0,0.625,0.25169979064455994,-1.0
11,1543527605.198722,0.020018815994262695,0.0,0.0,0.0,0.0,0.6253215263670335,-1.0
12,1543527609.026102,3.8273801803588867,0.0,0.0,0.0,0.875,5.469046041482963,-1.0
13,1543527609.086218,0.06011605262756348,0.0,1.0,0.0,1.0,3.900194603846681,-1.0
14,1543527609.126336,0.04011797904968262,0.0,1.125,0.0,1.125,0.1823715306451561,-1.0
15,1543527609.146889,0.020552873611450195,1.125,1.125,0.0,1.125,1.1253578159698796,-1.0
16,1543527609.186383,0.03949403762817383,1.25,1.25,0.0,1.125,0.18212233993248614,-1.0
17,1543527609.206399,0.020015954971313477,1.25,1.375,0.0,1.125,0.12808213832303525,-1.0
18,1543527609.226451,0.020051956176757812,1.375,1.375,0.0,1.25,0.17791032078719157,-1.0
19,1543527609.266508,0.04005718231201172,1.375,1.375,0.0,1.375,0.13277720786151662,-1.0
20,1543527609.286551,0.020042896270751953,1.5,1.5,0.0,1.5,0.21835129799628278,-1.0
21,1543527609.326664,0.040112972259521484,1.625,1.625,0.0,1.5,0.18237833888290605,-1.0
22,1543527609.366679,0.04001498222351074,1.625,1.625,0.0,1.75,0.253182164467395,-1.0
23,1543527609.386725,0.020045995712280273,1.75,1.75,0.0,1.75,0.17902682024317604,-1.0
24,1543527609.406747,0.020022153854370117,1.75,1.875,0.0,1.75,0.1265933932454702,-1.0
25,1543527609.426793,0.020045995712280273,1.875,1.875,0.0,1.875,0.17790964704740142,-1.0
26,1543527609.447385,0.02059197425842285,1.875,2.0,0.0,2.0,0.17797282797222838,-1.0
27,1543527609.466855,0.0194699764251709,1.875,2.0,0.0,2.125,0.12651220834818486,-1.0
28,1543527609.486912,0.020056962966918945,2.0,2.125,0.0,2.125,0.1779118498488972,-1.0
29,1543527609.527012,0.04010009765625,2.25,2.125,0.0,2.25,0.2830808101588934,-1.0
30,1543527609.547571,0.020558834075927734,2.375,2.25,0.0,2.375,0.21835642111208262,-1.0
31,1543527609.567027,0.019456148147583008,2.375,2.375,0.0,2.5,0.17784756848772845,-1.0
32,1543527609.607081,0.0400538444519043,2.375,2.5,0.0,2.625,0.18242416382821217,-1.0
33,1543527609.627136,0.020055055618286133,2.5,2.625,0.0,2.75,0.2183509945263914,-1.0
