RowId , Time  , TimeInterval  , FEF2:183  , FEF2:184  , FEF2:185  , FEF2:51  , FEF2:3673  , Difference  , Label 
0,1543527505.094546,0.0,5.4,0.0,3.0957,-1.0,-1.0,0.0,-1.0
1,1543527505.196532,0.10198593139648438,5.45,0.0,3.0957,-1.0,-1.0,0.15265077924994952,-1.0
2,1543527505.495528,0.2989959716796875,5.5,0.0,3.0957,-1.0,-1.0,0.36154051924102476,-1.0
3,1543527505.594685,0.09915709495544434,5.45,0.0,3.0957,-1.0,-1.0,0.22862131600183358,-1.0
4,1543527505.795523,0.2008378505706787,5.4,0.0,3.0957,-1.0,-1.0,0.23059665714041752,-1.0
5,1543527506.891993,1.0964701175689697,5.35,0.0,3.0957,-1.0,-1.0,1.4166523484645794,-1.0
6,1543527506.994017,0.10202383995056152,5.4,0.0,3.0957,-1.0,-1.0,1.0009157122292396,-1.0
7,1543527507.392997,0.39898014068603516,5.35,0.0,3.0957,-1.0,-1.0,0.4998681798317888,-1.0
8,1543527507.89299,0.49999308586120605,5.4,0.0,3.0957,-1.0,-1.0,0.5125394628728344,-1.0
9,1543527508.192002,0.2990119457244873,5.35,0.0,3.0957,-1.0,-1.0,0.3637328172939571,-1.0
10,1543527508.392008,0.20000600814819336,5.4,0.0,3.0957,-1.0,-1.0,0.2287019435219917,-1.0
11,1543527508.692006,0.29999804496765137,5.45,0.0,3.0957,-1.0,-1.0,0.3201518927192479,-1.0
12,1543527508.891995,0.19998884201049805,5.4,0.0,3.0957,-1.0,-1.0,0.229123062140905,-1.0
13,1543527509.092003,0.20000815391540527,5.35,0.0,3.0957,-1.0,-1.0,0.20616319265474667,-1.0
14,1543527509.293006,0.201002836227417,5.4,0.0,3.0957,-1.0,-1.0,0.2071307064738778,-1.0
15,1543527509.492999,0.19999313354492188,5.45,0.0,3.0957,-1.0,-1.0,0.20615109256228542,-1.0
16,1543527509.992988,0.49998903274536133,5.4,0.0,3.0957,-1.0,-1.0,0.5852235234529813,-1.0
17,1543527510.09299,0.10000181198120117,5.45,0.0,3.0957,-1.0,-1.0,0.41531932193694104,-1.0
18,1543527510.292984,0.19999408721923828,5.5,0.0,3.0957,-1.0,-1.0,0.22912025233474154,-1.0
19,1543527510.591977,0.2989928722381592,5.45,0.0,3.0957,-1.0,-1.0,0.3189004501164065,-1.0
20,1543527510.993014,0.40103721618652344,5.5,0.0,3.0957,-1.0,-1.0,0.41682597915495667,-1.0
21,1543527511.192998,0.19998383522033691,5.45,0.0,3.0957,-1.0,-1.0,0.2879513784432528,-1.0
22,1543527511.293988,0.10099005699157715,5.4,0.0,3.0957,-1.0,-1.0,0.14999586574024917,-1.0
23,1543527511.39299,0.09900212287902832,5.35,0.0,3.0957,-1.0,-1.0,0.1109295822429262,-1.0
24,1543527511.793985,0.40099477767944336,5.4,0.0,3.0957,-1.0,-1.0,0.5044763376805586,-1.0
25,1543527512.092005,0.2980201244354248,5.35,0.0,3.0957,-1.0,-1.0,0.3192487647262429,-1.0
26,1543527512.793016,0.7010109424591064,5.4,0.0,3.0957,-1.0,-1.0,0.810134520224142,-1.0
27,1543527512.993011,0.1999950408935547,5.35,0.0,3.0957,-1.0,-1.0,0.5417702003650231,-1.0
28,1543527513.591995,0.5989840030670166,5.4,0.0,3.0957,-1.0,-1.0,0.721438859409752,-1.0
29,1543527513.793028,0.2010331153869629,5.35,0.0,3.0957,-1.0,-1.0,0.44864153005214613,-1.0
30,1543527514.392004,0.5989758968353271,5.4,0.0,3.0957,-1.0,-1.0,0.7208540644933239,-1.0
31,1543527514.591992,0.19998788833618164,5.35,0.0,3.0957,-1.0,-1.0,0.44909529769001066,-1.0
32,1543527515.192985,0.6009931564331055,5.4,0.0,3.0957,-1.0,-1.0,0.7242223409429683,-1.0
33,1543527515.391974,0.1989889144897461,5.35,0.0,3.0957,-1.0,-1.0,0.4513357936506505,-1.0
34,1543527515.591975,0.20000100135803223,5.3,0.0,3.0957,-1.0,-1.0,0.20615873705483487,-1.0
35,1543527515.691967,0.09999203681945801,5.2,0.0,3.0957,-1.0,-1.0,0.17320565930529397,-1.0
36,1543527515.792968,0.10100102424621582,5.0,0.0,3.0957,-1.0,-1.0,0.22405853019783045,-1.0
37,1543527515.891978,0.09900999069213867,4.85,0.0,3.0957,-1.0,-1.0,0.17974132099066967,-1.0
38,1543527516.193197,0.30121898651123047,4.95,0.0,3.0957,-1.0,-1.0,0.37632612960704503,-1.0
39,1543527516.293195,0.09999799728393555,4.9,0.0,3.0957,-1.0,-1.0,0.23019445251006615,-1.0
40,1543527516.392211,0.09901595115661621,4.85,0.0,3.0957,-1.0,-1.0,0.11092845891855553,-1.0
41,1543527516.494187,0.10197615623474121,4.8,0.0,3.0957,-1.0,-1.0,0.11361293612312326,-1.0
42,1543527516.692433,0.19824600219726562,4.85,0.0,3.0957,-1.0,-1.0,0.22598531064838354,-1.0
43,1543527516.993184,0.3007509708404541,4.8,0.0,3.0957,-1.0,-1.0,0.3216495220857894,-1.0
44,1543527517.59201,0.5988259315490723,4.85,0.0,3.0957,-1.0,-1.0,0.6707765488574108,-1.0
45,1543527517.792995,0.20098495483398438,4.8,0.0,3.0957,-1.0,-1.0,0.4485224574346683,-1.0
46,1543527517.992998,0.20000290870666504,4.85,0.0,3.0957,-1.0,-1.0,0.20616044214572968,-1.0
47,1543527518.092013,0.0990149974822998,4.8,0.0,3.0957,-1.0,-1.0,0.15000842622959581,-1.0
