RowId , Time  , TimeInterval  , F00E:3216  , F00E:3217  , F00E:3218  , F00E:3219  , F00E:3220  , F00E:3221  , F00E:3222  , F00E:3223  , F00E:3224  , F00E:5714  , F00E:3225  , Difference  , Label 
28,1543527809.91934,0.05084681510925293,912.8,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,26.000049728122917,-1.0
29,1543527809.968396,0.049056053161621094,871.8,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,41.00002938661362,-1.0
30,1543527810.017845,0.04944896697998047,836.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,35.8000341529825,-1.0
31,1543527810.067859,0.05001401901245117,797.7,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,38.30003265953409,-1.0
32,1543527810.117795,0.04993605613708496,762.2,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,35.50003512133165,-1.0
33,1543527810.168807,0.05101203918457031,729.2,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,33.00003944521705,-1.0
34,1543527810.218803,0.04999589920043945,692.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,36.60003416149333,-1.0
35,1543527810.268793,0.049990177154541016,659.1,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,33.500037298753035,-1.0
36,1543527810.318801,0.05000782012939453,627.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,31.500039694933488,-1.0
37,1543527810.367855,0.04905414581298828,606.4,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,21.200056773950347,-1.0
38,1543527810.417794,0.04993891716003418,589.1,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,17.300072100377673,-1.0
39,1543527810.468332,0.050538063049316406,560.1,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,29.000044042290565,-1.0
40,1543527810.517783,0.04945087432861328,548.3,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,11.80010366780533,-1.0
41,1543527810.56784,0.050057172775268555,534.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,13.700091462765574,-1.0
42,1543527810.617825,0.04998493194580078,528.2,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,6.400195192229693,-1.0
43,1543527810.667842,0.05001688003540039,516.3,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,11.900105112532046,-1.0
44,1543527810.718792,0.050950050354003906,510.4,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,5.900220061865291,-1.0
45,1543527810.768779,0.049987077713012695,498.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,11.800105916272681,-1.0
46,1543527810.817785,0.049005985260009766,490.7,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,7.9001520586083815,-1.0
47,1543527810.868213,0.050427913665771484,486.2,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,4.500282768488784,-1.0
48,1543527810.917777,0.04956412315368652,479.9,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,6.3001950246352045,-1.0
49,1543527810.967832,0.05005502700805664,476.9,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,3.0004175953882437,-1.0
50,1543527811.017863,0.05003094673156738,469.5,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,7.400169126189643,-1.0
51,1543527811.067888,0.050024986267089844,467.5,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2.00062552700063,-1.0
52,1543527811.118823,0.05093502998352051,462.1,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,5.40024029145544,-1.0
53,1543527811.167885,0.04906201362609863,460.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.5008033146856128,-1.0
54,1543527811.21782,0.04993486404418945,458.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2.0006234659512927,-1.0
55,1543527811.270814,0.0529940128326416,457.2,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.4010059685053136,-1.0
56,1543527811.317822,0.04700803756713867,455.2,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2.0005613181044444,-1.0
57,1543527811.367874,0.05005192756652832,453.8,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.4008977338547557,-1.0
58,1543527811.41883,0.050956010818481445,451.2,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2.6004994390318905,-1.0
59,1543527811.467873,0.04904317855834961,449.8,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.4008600544987704,-1.0
60,1543527811.518819,0.05094599723815918,447.8,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2.0006496733195243,-1.0
61,1543527811.567868,0.04904890060424805,446.3,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.5008029163171706,-1.0
62,1543527811.61797,0.05010199546813965,444.8,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.5008368728674952,-1.0
63,1543527811.668129,0.05015897750854492,443.8,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.0012571728939852,-1.0
64,1543527811.717968,0.049839019775390625,442.8,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.0012412447882493,-1.0
65,1543527811.76881,0.0508420467376709,442.4,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.403219443702297,-1.0
66,1543527811.818112,0.049301862716674805,440.4,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2.0006081689911577,-1.0
67,1543527811.867868,0.04975605010986328,438.4,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2.000618871951558,-1.0
68,1543527811.919862,0.05199408531188965,437.9,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5027010977797697,-1.0
69,1543527811.968807,0.048944950103759766,436.4,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.50080142103017,-1.0
70,1543527812.017856,0.04904890060424805,435.4,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.001202180109588,-1.0
71,1543527812.068007,0.05015110969543457,435.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.40313316493256424,-1.0
72,1543527812.117853,0.04984593391418457,434.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.0012415843641507,-1.0
73,1543527812.1679,0.05004715919494629,433.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.0012515960711863,-1.0
74,1543527812.268907,0.10100698471069336,432.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.006379309593029,-1.0
75,1543527812.319195,0.05028796195983887,431.5,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5050755373079119,-1.0
76,1543527812.368842,0.049646854400634766,431.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5024591736358093,-1.0
77,1543527812.417845,0.04900312423706055,430.5,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5023959798540553,-1.0
78,1543527812.467955,0.0501101016998291,429.5,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.0012553359116096,-1.0
79,1543527812.567895,0.09993982315063477,429.0,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5123192065414345,-1.0
80,1543527812.617837,0.0499420166015625,428.5,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5049692918207495,-1.0
81,1543527812.718837,0.10100007057189941,428.1,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.4157017429970054,-1.0
82,1543527812.768842,0.05000495910644531,427.5,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.6042358788822778,-1.0
83,1543527812.867892,0.09905004501342773,426.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.9067614525710411,-1.0
84,1543527812.918838,0.05094599723815918,425.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.0024517415052736,-1.0
85,1543527812.968828,0.049989938735961914,425.1,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5024936895351869,-1.0
86,1543527813.017874,0.04904603958129883,424.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5024006418628707,-1.0
87,1543527813.117911,0.1000370979309082,423.7,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.9069771270512353,-1.0
88,1543527813.317866,0.19995498657226562,423.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.2448787069666426,-1.0
89,1543527813.367926,0.05005979537963867,423.1,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5243801592891606,-1.0
90,1543527813.467918,0.09999203681945801,422.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5123393759633436,-1.0
91,1543527813.567926,0.10000801086425781,422.1,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5099035227297372,-1.0
92,1543527813.667919,0.09999299049377441,421.1,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.0049868647765998,-1.0
93,1543527813.867911,0.19999217987060547,420.6,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5477195540469775,-1.0
94,1543527813.918853,0.05094194412231445,420.1,14.9995,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5242242406142453,-1.0
