RowId , Time  , TimeInterval  , F003:558  , F003:559  , F003:1437  , F003:2970  , F003:91  , F003:92  , F003:974  , F003:29  , F003:2979  , F003:5021  , F003:5399  , F003:5400  , F003:3357  , F003:5398  , Difference  , Label 
0,1543527505.000022,0.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.0
1,1543527505.123572,0.1235501766204834,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1747263354102789,-1.0
2,1543527505.274529,0.1509568691253662,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.15342458450388627,-1.0
3,1543527505.574517,0.2999880313873291,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3349673212431276,-1.0
4,1543527505.623661,0.04914402961730957,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25561269309450296,-1.0
5,1543527505.923763,0.30010199546813965,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.39120468850455475,-1.0
6,1543527505.973845,0.05008196830749512,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25498670069429574,-1.0
7,1543527506.021429,0.04758405685424805,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.04764957532168124,-1.0
8,1543527506.073011,0.05158185958862305,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.05173655057426422,-1.0
9,1543527506.272192,0.19918107986450195,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2479085161950604,-1.0
10,1543527506.372197,0.10000491142272949,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.14084351137151754,-1.0
11,1543527506.472317,0.10012006759643555,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.10012013382162034,-1.0
12,1543527506.521041,0.04872393608093262,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.07082078989941923,-1.0
13,1543527506.720991,0.1999499797821045,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25069764799130595,-1.0
14,1543527506.821035,0.10004401206970215,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.14138602029746183,-1.0
15,1543527506.871049,0.05001401901245117,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.07074180025336087,-1.0
16,1543527506.920991,0.0499420166015625,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.049942068505198285,-1.0
17,1543527507.071076,0.1500849723815918,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.18042757695857936,-1.0
18,1543527507.122007,0.05093097686767578,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.11146963367244643,-1.0
19,1543527507.271996,0.14998912811279297,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.17974775625897624,-1.0
20,1543527507.321,0.04900407791137695,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.11224695994158067,-1.0
21,1543527507.621033,0.3000328540802002,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.39119708586891067,-1.0
22,1543527507.671989,0.050956010818481445,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25423569554206193,-1.0
23,1543527508.321003,0.6490139961242676,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.8825488773734895,-1.0
24,1543527508.37106,0.05005693435668945,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.601045138503291,-1.0
