RowId , Time  , TimeInterval  , FCFD:5262  , FCFD:5263  , FCFD:5313  , FCFD:5314  , Difference  , Label 
0,1543527505.000029,0.0,-1.0,-1.0,72.6289,-1.0,0.0,-1.0
1,1543527505.075545,0.0755159854888916,-1.0,-1.0,72.707,-1.0,0.13230622860891975,-1.0
2,1543527505.275537,0.19999194145202637,-1.0,-1.0,72.7266,-1.0,0.2363793566678094,-1.0
3,1543527505.374538,0.09900093078613281,-1.0,-1.0,72.75,-1.0,0.14334548661133026,-1.0
4,1543527505.575712,0.20117402076721191,-1.0,-1.0,72.9062,-1.0,0.2744244284824654,-1.0
5,1543527505.674532,0.09881997108459473,-1.0,-1.0,72.8984,-1.0,0.14248711580908588,-1.0
6,1543527505.775581,0.10104894638061523,-1.0,-1.0,72.8789,-1.0,0.1029373979441023,-1.0
7,1543527505.874522,0.09894108772277832,-1.0,-1.0,72.6992,-1.0,0.2051484143440714,-1.0
8,1543527505.974533,0.10001111030578613,-1.0,-1.0,72.8789,-1.0,0.20565859362769925,-1.0
9,1543527506.074011,0.09947800636291504,-1.0,-1.0,72.8867,-1.0,0.09978475810340035,-1.0
10,1543527506.373072,0.2990608215332031,-1.0,-1.0,72.8789,-1.0,0.3596269109610845,-1.0
11,1543527506.572501,0.19942903518676758,-1.0,-1.0,72.8594,-1.0,0.22378266895831558,-1.0
12,1543527506.673163,0.1006619930267334,-1.0,-1.0,72.8789,-1.0,0.14236578049923515,-1.0
13,1543527506.872009,0.19884610176086426,-1.0,-1.0,72.9375,-1.0,0.22937709430849332,-1.0
14,1543527507.072019,0.20001006126403809,-1.0,-1.0,72.9492,-1.0,0.20035535782346678,-1.0
15,1543527507.273018,0.20099878311157227,-1.0,-1.0,72.8789,-1.0,0.21294031648146178,-1.0
16,1543527507.372045,0.09902715682983398,-1.0,-1.0,72.8594,-1.0,0.14347418010340168,-1.0
17,1543527507.473049,0.10100388526916504,-1.0,-1.0,72.918,-1.0,0.11678892196947019,-1.0
18,1543527507.673005,0.19995617866516113,-1.0,-1.0,72.8789,-1.0,0.2265013018830168,-1.0
19,1543527507.773007,0.10000181198120117,-1.0,-1.0,72.9375,-1.0,0.15305292489434774,-1.0
20,1543527507.972004,0.19899702072143555,-1.0,-1.0,72.8789,-1.0,0.22985609761224488,-1.0
21,1543527508.07202,0.10001611709594727,-1.0,-1.0,72.918,-1.0,0.14604537980185753,-1.0
22,1543527508.172023,0.10000300407409668,-1.0,-1.0,72.9062,-1.0,0.100696777484661,-1.0
23,1543527508.273018,0.10099482536315918,-1.0,-1.0,72.918,-1.0,0.10168666805242783,-1.0
24,1543527508.372023,0.09900522232055664,-1.0,-1.0,72.9375,-1.0,0.10092691695979687,-1.0
25,1543527508.473014,0.10099101066589355,-1.0,-1.0,72.9492,-1.0,0.10168587704628018,-1.0
26,1543527508.572011,0.09899687767028809,-1.0,-1.0,72.957,-1.0,0.0993237048990319,-1.0
27,1543527508.873007,0.3009960651397705,-1.0,-1.0,72.9492,-1.0,0.36257846456726567,-1.0
28,1543527508.972005,0.09899783134460449,-1.0,-1.0,72.9375,-1.0,0.22525706885090513,-1.0
29,1543527509.173013,0.20100808143615723,-1.0,-1.0,72.8594,-1.0,0.2385580640565037,-1.0
30,1543527509.273016,0.10000300407409668,-1.0,-1.0,72.9375,-1.0,0.16217964260893108,-1.0
31,1543527509.372016,0.0989999771118164,-1.0,-1.0,72.9492,-1.0,0.0996939894438343,-1.0
32,1543527509.472016,0.10000014305114746,-1.0,-1.0,72.957,-1.0,0.10030886771445474,-1.0
33,1543527509.872006,0.3999898433685303,-1.0,-1.0,72.9766,-1.0,0.5003697184027975,-1.0
34,1543527509.972009,0.10000300407409668,-1.0,-1.0,72.9492,-1.0,0.31740110991253345,-1.0
35,1543527510.071995,0.09998607635498047,-1.0,-1.0,72.957,-1.0,0.10028985866682377,-1.0
36,1543527510.171996,0.10000109672546387,-1.0,-1.0,73.0391,-1.0,0.12938558486906082,-1.0
37,1543527510.272992,0.10099577903747559,-1.0,-1.0,72.9883,-1.0,0.1130565202732217,-1.0
38,1543527510.471984,0.19899201393127441,-1.0,-1.0,72.9766,-1.0,0.22212152903711266,-1.0
39,1543527510.572011,0.10002708435058594,-1.0,-1.0,73.0391,-1.0,0.15396663564093963,-1.0
40,1543527510.671982,0.09997105598449707,-1.0,-1.0,72.9766,-1.0,0.11790023398548984,-1.0
41,1543527510.772982,0.10099983215332031,-1.0,-1.0,73.0273,-1.0,0.11301554970623999,-1.0
42,1543527510.872261,0.09927916526794434,-1.0,-1.0,72.9766,-1.0,0.11148902793920763,-1.0
43,1543527510.973072,0.10081100463867188,-1.0,-1.0,73.0469,-1.0,0.12291173738953687,-1.0
